datetime,USD,open,high,low,close,volume,sma_7,sma_30,ema_7,ema_20,rsi_14,macd,macd_signal,macd_histogram,bb_high,bb_low,bb_mid,bb_width,atr,price_momentum_1d,price_momentum_7d,log_return,volatility_14d,dist_from_sma30,volume_sma_7,volume_change_1d,mfi_14,n-transactions,hash-rate,difficulty,mempool-size,utxo-count,close_next_1d,close_pct_change_1d,close_direction_1d,close_next_7d,close_pct_change_7d,close_direction_7d
2024-05-18,66912.61861403697,66912.61861403697,66912.61861403697,66912.61861403697,66912.61861403697,13025487675.845129,66912.61861403697,66912.61861403697,66912.61861403697,66912.61861403697,100.0,0.0,0.0,0.0,66912.61861403697,66912.61861403697,66912.61861403697,0.0,0.0,-0.009862205840833749,0.03520751428500435,-0.009911159519616873,0.024434398550597227,0.0,13025487675.845129,-0.3034629623247058,50.0,401264.0,529065875.9318188,83148355189240.0,184203748.5,183018086.5,66912.61861403697,0.0,0,68539.91646552991,-0.02374233782895463,0
2024-05-19,66912.61861403697,66912.61861403697,66912.61861403697,66912.61861403697,66912.61861403697,13025487675.845129,66912.61861403697,66912.61861403697,66912.61861403697,66912.61861403697,100.0,0.0,0.0,0.0,66912.61861403697,66912.61861403697,66912.61861403697,0.0,0.0,-0.009862205840833749,0.03520751428500435,-0.009911159519616873,0.024434398550597227,0.0,13025487675.845129,-0.3034629623247058,50.0,644119.0,636532381.9804695,83148355189240.0,165869220.75,182956310.25,66252.71259591613,0.009960437727971838,1,69268.44558973772,-0.03401010309447128,0
2024-05-20,66252.71259591613,66252.71259591613,66252.71259591613,66252.71259591613,66252.71259591613,9072734600.009218,66582.66560497656,66582.66560497656,66747.64210950676,66849.77042183498,0.0,-52.6420755196159,-10.52841510392318,-42.11366041569272,67242.5716230974,65922.75958685571,66582.66560497656,0.01982215677683907,0.0,-0.009862205840833749,0.03520751428500435,-0.009911159519616873,0.024434398550597227,-0.004955539194209767,11049111137.927174,-0.3034629623247058,0.0,626995.0,644799036.2919042,83148355189240.0,168683950.375,182873967.2,71430.29700215145,-0.07248443060623655,0,68508.83110875699,-0.03293179107463229,0
2024-05-21,71430.29700215145,71430.29700215145,71430.29700215145,71430.29700215145,71430.29700215145,35923476641.4359,68198.54273736819,68198.54273736819,67918.30583266793,67286.01104853179,89.41740273018861,319.74071909228223,55.5254117353179,264.21530735696433,72800.58451876526,63596.50095597112,68198.54273736819,0.1349601207497785,0.0,0.07814901765327065,0.03520751428500435,0.07524569823306677,0.024434398550597227,0.04738743872033613,19340566305.763416,2.9594982356696953,81.02081135042508,545041.0,570399147.4889922,83148355189240.0,170822716.375,182877192.5,70189.8358177002,0.017672946089702046,1,69367.23871755725,0.029741104341695968,1
2024-05-22,70189.8358177002,70189.8358177002,70189.8358177002,70189.8358177002,70189.8358177002,41105056578.01701,68696.36600745119,68696.36600745119,68486.188328926,67562.56578845259,72.65525207126905,508.89568341497215,146.19946607124876,362.6962173437234,73038.9490541098,64353.78296079257,68696.36600745119,0.12642831925600254,0.0,-0.01736603705307138,0.03520751428500435,-0.017518595478010247,0.024434398550597227,0.021740157406390574,24781688873.826813,0.14423937828457367,42.39768652282317,583279.0,632399054.8247522,83148355189240.0,174904504.75,182881759.75,69181.20085677762,0.014579610478440586,1,68316.63588049631,0.027419382015247296,1
2024-05-23,69181.20085677762,69181.20085677762,69181.20085677762,69181.20085677762,69181.20085677762,31059440495.91766,68793.33297731647,68793.33297731647,68659.9414608889,67716.72150924546,62.410511759169054,570.8337277148239,231.1263183999638,339.7074093148601,72696.77549714678,64889.890457486166,68793.33297731647,0.11348316329192558,0.0,-0.014370100017646936,0.03520751428500435,-0.01447434983028954,0.024434398550597227,0.005638160889646693,26037239198.244984,-0.244388815352507,31.28915027680962,744761.0,706194547.0096976,84060416283612.4,142564133.6,183003703.8,67906.46534276106,0.018771931473421155,1,67577.26558995963,0.02373483527064013,1
2024-05-24,67906.46534276106,67906.46534276106,67906.46534276106,67906.46534276106,67906.46534276106,39235702119.25446,68645.52170489058,68645.52170489058,68471.57243135695,67734.79235053266,52.36162780457,511.16715472091164,287.1344856641534,224.03266905675827,72269.65604288164,65021.387366899515,68645.52170489058,0.1055898257593945,0.0,-0.01842603912955454,0.03520751428500435,-0.01859791316788611,0.024434398550597227,-0.010766272056416781,28236983018.413227,0.26324561849114647,23.616558163904713,736439.0,671140034.7624127,84381461788831.33,118786653.0,183057634.5,68539.91646552991,-0.00924207608404981,0,68372.49288434093,-0.006816009215404817,0
2024-05-25,68539.91646552991,68539.91646552991,68539.91646552991,68539.91646552991,68539.91646552991,28127411967.182774,68630.43524212476,68630.43524212476,68488.6584399002,67811.47083767525,56.140814585528645,509.12628647396923,331.53284582611656,177.59344064785267,71986.5455592949,65274.32492495461,68630.43524212476,0.09780239059624067,0.0,0.009328288839236087,0.03520751428500435,0.009285049047082982,0.024434398550597227,-0.0013189305338878387,28221330011.094597,-0.28311689487061387,35.12702521725012,835040.0,671140034.7624127,84381461788831.33,147198973.75,183215802.2,69268.44558973772,-0.010517474703023222,0,67474.95483698409,0.015783065451747458,1
2024-05-26,69268.44558973772,69268.44558973772,69268.44558973772,69268.44558973772,69268.44558973772,15929396750.116022,68966.98195293915,68710.18653557639,68683.60522735959,67950.23033787168,60.06470468544426,559.8415900751424,377.19459467592173,182.6469953992207,71877.7770125779,65542.59605857487,68710.18653557639,0.09220148093649609,0.0,0.010629267757777283,0.03520751428500435,0.01057317422989341,0.024434398550597227,0.008124836830013252,28636174164.561863,-0.4336700166833194,40.278000743973244,852655.0,704697036.5005332,84381461788831.36,149442503.625,183365710.6,68508.83110875699,0.011087833038267103,1,67704.32641811523,0.023102204162893658,1
2024-05-27,68508.83110875699,68508.83110875699,68508.83110875699,68508.83110875699,68508.83110875699,11243743771.147913,69289.2845976307,68687.81371037423,68639.91169770894,68003.43041128933,54.58151969990359,532.5998141849996,408.2756385777373,124.32417560726225,71676.92714104027,65698.7002797082,68687.81371037423,0.08703475243133497,0.0,-0.010966241186929016,0.034053224757772727,-0.01102681365172268,0.024434398550597227,-0.0026057402608843276,28946318331.867393,-0.2941513136041376,38.16262906392285,551610.0,515938901.7236049,84381461788831.12,154820921.75,183473725.66666666,69367.23871755725,-0.01237482743540419,0,67740.01690222476,0.011349483535587623,1
