,open,high,low,close,volume,sma_7,sma_30,ema_7,ema_20,rsi_14,macd,macd_signal,macd_histogram,bb_high,bb_low,bb_mid,bb_width,atr,price_momentum_1d,price_momentum_7d,log_return,volatility_14d,dist_from_sma30,volume_sma_7,volume_change_1d,mfi_14,n-transactions,hash-rate,difficulty,mempool-size,utxo-count,close_next_1d,close_pct_change_1d,close_direction_1d,close_next_7d,close_pct_change_7d,close_direction_7d
2024-05-11,60776.972079172134,60776.972079172134,60776.972079172134,60776.972079172134,12120618802.065384,60776.972079172134,60776.972079172134,60776.972079172134,60776.972079172134,100.0,0.0,0.0,0.0,60776.972079172134,60776.972079172134,60776.972079172134,0.0,0.0,0.01201247610687406,0.10095347505749608,0.011940898958130438,0.031533412347023726,0.0,12120618802.065384,0.07632261371751548,50.0,719306.0,657199017.7590562,83148355189240.0,167242727.0,183590609.4,60776.972079172134,0.0,0,67053.12326509564,-0.0935996845532554,0
2024-05-12,60776.972079172134,60776.972079172134,60776.972079172134,60776.972079172134,12120618802.065384,60776.972079172134,60776.972079172134,60776.972079172134,60776.972079172134,100.0,0.0,0.0,0.0,60776.972079172134,60776.972079172134,60776.972079172134,0.0,0.0,0.01201247610687406,0.10095347505749608,0.011940898958130438,0.031533412347023726,0.0,12120618802.065384,0.07632261371751548,50.0,557164.0,545599184.5546882,83148355189240.0,155886451.375,183511994.0,61507.054004121346,-0.011869889344729323,0,66912.61861403697,-0.09169640438459381,0
2024-05-13,61507.054004121346,61507.054004121346,61507.054004121346,61507.054004121346,13045696108.912676,61142.013041646744,61142.013041646744,60959.49256040943,60846.50369107206,100.0,58.24015355720621,11.648030711441244,46.59212284576497,61872.09496659595,60411.93111669754,61142.013041646744,0.023881514154658647,0.0,0.01201247610687406,0.10095347505749608,0.011940898958130438,0.031533412347023726,0.005970378538664662,12583157455.489029,0.07632261371751548,100.0,554780.0,607599091.8904481,83148355189240.0,155667497.125,183442063.75,62878.783300729294,-0.02181545546209762,0,66252.71259591613,-0.07162964965282514,0
2024-05-14,62878.783300729294,62878.783300729294,62878.783300729294,62878.783300729294,27740460083.601814,61720.93646134093,61720.93646134093,61439.3152454894,61040.05413008704,100.0,212.63189691625303,51.8448039524036,160.78709296384943,63463.510711807256,59978.3622108746,61720.93646134093,0.05646622849145507,0.0,0.022301983387401858,0.10095347505749608,0.022056930901615687,0.031533412347023726,0.018759385482000703,17635591664.85996,1.1264070427525779,100.0,422043.0,562132493.1775575,83148355189240.0,159745244.625,183295627.0,61569.1130057734,0.02127154722584823,1,71430.29700215145,-0.11971829966162095,0
2024-05-15,61569.1130057734,61569.1130057734,61569.1130057734,61569.1130057734,21581895152.31416,61682.980597449045,61682.980597449045,61471.764685560396,61090.440689676216,59.23748819192287,226.69581024191575,86.81500521030603,139.88080503160973,63197.811127586516,60168.15006731157,61682.980597449045,0.04911664499559278,0.0,-0.020828492954326983,0.10095347505749608,-0.021048465844257014,0.031533412347023726,-0.0018460131234377562,18622167536.723507,-0.222006589390641,65.71308202922299,493012.0,582799128.9561441,83148355189240.0,166244170.25,183191393.25,66220.51831432826,-0.07024114922320734,0,70189.8358177002,-0.12282010224837792,0
2024-05-16,66220.51831432826,66220.51831432826,66220.51831432826,66220.51831432826,38101793065.15294,62590.48814082488,62590.48814082488,62658.95309275236,61579.01951107165,84.07140669916848,606.1833930428402,190.68868277681287,415.4947102660273,66465.13500067858,58715.84128097117,62590.48814082488,0.12380944692861248,0.0,0.07554770698286162,0.10095347505749608,0.07283002669896313,0.031533412347023726,0.057996514827237555,22518092642.409393,0.7654516805057967,79.23325773591174,476659.0,586932456.1118613,83148355189240.0,182174150.125,183096756.5,65260.879803346186,0.014704651758814746,1,69181.20085677762,-0.04279605594847524,0
2024-05-17,65260.879803346186,65260.879803346186,65260.879803346186,65260.879803346186,29114585833.349678,63035.553417911775,63035.553417911775,63309.43477040081,61929.672872240655,74.0481938844891,820.0422915915115,316.55940453975256,503.4828870517589,67094.17415134412,58976.93268447943,63035.553417911775,0.12877243121908014,0.0,-0.01449155843853367,0.10095347505749608,-0.014597586660988418,0.031533412347023726,0.035302718303764066,23617508174.232773,-0.23587360354499332,61.09211633291016,573492.0,640665709.1361867,83148355189240.0,208998595.8,183045022.0,67053.12326509564,-0.026728709633163317,0,67906.46534276106,-0.03895925853394311,0
2024-05-18,67053.12326509564,67053.12326509564,67053.12326509564,67053.12326509564,25397793918.993534,63609.491967509464,63609.491967509464,64245.35689407452,62417.62052870303,79.06759391130436,1121.2213367866789,477.4917909891378,643.729545797541,68302.56483551831,58916.41909950062,63609.491967509464,0.1475588854067873,0.0,0.027462753599861056,0.10095347505749608,0.027092417193374123,0.031533412347023726,0.05413706651430442,23871834709.198597,-0.12766082044343208,67.71705304887895,401264.0,529065875.9318188,83148355189240.0,183056690.25,183011925.0,66912.61861403697,0.002099822932788209,1,68539.91646552991,-0.021692369601617578,0
2024-05-19,66912.61861403697,66912.61861403697,66912.61861403697,66912.61861403697,13025487675.845129,64486.01290106158,64022.3827983254,64912.172324065126,62845.71558444912,77.79723406859861,1333.2020258233752,648.6338379559853,684.5681878673898,68925.97574586888,59118.789850781926,64022.3827983254,0.153183706485593,0.0,-0.002095422915695977,0.10095347505749608,-0.002097621385980678,0.031533412347023726,0.04514414630295774,24001101691.167133,-0.4871409809296813,62.28901824944788,644119.0,636532381.9804695,83148355189240.0,164939602.125,182956026.5,66252.71259591613,0.009960437727971838,1,69268.44558973772,-0.03401010309447128,0
2024-05-20,66252.71259591613,66252.71259591613,66252.71259591613,66252.71259591613,9072734600.009218,65163.96412846084,64270.19722027992,65247.307392027884,63170.19149030312,71.95019145130799,1431.4485012490622,805.1967706146008,626.2517306344614,69101.21324899638,59439.18119156347,64270.19722027992,0.15033456369080728,0.0,-0.009862205840833749,0.07715633058082738,-0.009911159519616873,0.031533412347023726,0.03084657370571513,23433535761.323784,-0.3034629623247058,59.02594107070507,626995.0,644799036.2919042,83148355189240.0,168279778.875,182869769.0,71430.29700215145,-0.07248443060623655,0,68508.83110875699,-0.03293179107463229,0
